64,64
131586,197379,263174,197381,197379,197379,263172,328965,263172,263172,328965,328965,328965,328965,394758,263172,394758,394758,394758,460551,460551,460551,460549,460549,460551,460551,460551,460551,460551,526344,460038,591108,985607,1577227,2234642,2497555,2694166,2562580,2431508,2497301,2497301,2628887,2957338,3023131,2826266,3088409,4205601,5650731,7095089,8671548,10380877,11695449,12286816,12286816,12352609,12220510,12154460,11891288,11627346,11167311,10576718,9001804,4140329,2697000
197379,197379,263174,263174,263172,263172,263172,328965,328965,328965,328965,328965,460551,394758,394758,394758,394758,460551,460551,460551,460551,460551,460549,460549,460551,460551,460551,526344,460551,460551,591624,657671,985864,1446157,2168849,2431762,2497301,2628373,2431508,2365715,2431508,2563094,2957338,2891545,2760473,2825237,3350294,4466714,6108964,8277560,10380877,11564120,11827035,12089436,12155229,12221023,12088924,12022874,11693909,11103060,10447448,6833208,3351842,3289137
197379,197379,197379,263172,197379,263172,263172,328965,328965,328965,328965,328965,329478,329478,394756,460549,394758,460551,460551,394758,460551,460551,460551,460551,395271,461064,526344,460551,460551,526344,526344,591624,985866,1380365,1971472,2497301,2431762,2497555,2563094,2497301,2497301,2365715,2497301,2563094,2825752,2891030,3285014,4400924,6240297,8474941,10512463,11563863,11957850,12089436,12089436,12155229,12221022,12220765,11891545,11631205,8478547,3679519,3617327,3421236
197379,197379,197379,197379,263172,263172,328965,328965,328965,328965,328965,328965,263685,329478,460549,394756,394758,460551,460551,460551,460551,460551,460551,526344,395271,395271,526344,460551,460551,526344,526344,526344,657671,1249036,1642766,2037263,2300435,2563348,2563094,2497301,2365715,2102543,2036750,2299922,2628373,2891030,3350553,4269595,6175274,8475198,10184013,11300948,11827034,12089690,12089690,12221276,12352862,12156000,12090982,10515296,4600363,3353385,3289391,3355443
197379,197379,263170,263170,263172,263172,263172,328965,328965,328965,328965,328965,394758,394758,394758,460551,394758,526344,460551,460551,460551,460551,460551,526344,460551,460551,395269,461062,526344,526344,526344,592137,526344,723464,1182986,1642766,2103056,2366228,2628887,2497301,2234383,2168590,2037004,2168590,2496785,2693651,3087381,3941400,5583909,7686711,9854794,11235157,11761239,12024665,12155481,12287069,12353376,12157286,11567982,6769212,3549221,3354930,2829099,3026478
263172,263172,328963,263170,263172,263172,328965,328965,328965,328965,394758,394758,394758,394758,394758,460551,460551,460551,526344,526344,460551,460551,460551,460551,526344,526344,526342,526342,526344,526344,592137,526344,526344,657417,854280,1248779,1774352,2168851,2366230,2234129,2102543,2234383,2431762,2562578,2759699,2956308,3153428,3876120,5320994,7029296,9395013,11104341,11827547,12024665,12090458,12155997,12221790,12355950,9268315,3482139,3616557,3223859,3026478,2697513
263172,263172,263172,263172,197638,197638,328965,328965,328965,394758,394758,394758,460038,525831,460551,460551,460551,526344,526344,592137,592137,592137,526344,526344,526344,526344,657930,460551,526344,526344,592137,657930,592137,592137,657417,723464,1051657,1511951,1774352,1839886,1905677,2102797,2693651,3153687,3219478,3285012,3416598,4007193,4729629,6042916,8737341,10840915,11762269,12090717,12155997,12155997,12222305,11238758,5257262,3681837,3486002,3486518,2829099,2829099
263172,263172,263172,328965,263431,329224,394758,394758,460551,394758,394758,525831,525831,591878,526085,526085,394499,460292,591108,525313,591106,526085,591878,526085,526085,591878,657417,657417,526344,592137,592137,592137,592137,592137,657930,592137,657671,854280,1117193,1182985,1379848,1774091,2299406,3022871,3482904,3548184,3613977,4007706,4598300,5780257,8474169,10578256,11564890,11893340,12090204,11762269,11895399,8543563,3548962,3749174,3552311,3157553,2697513,2763306
263174,263174,263172,328965,328965,328965,394758,526344,526085,657671,723464,723464,1446417,1051659,1051659,1446158,1511950,1708559,1905679,2300437,2037265,1774093,1314571,1051657,1117193,985607,788487,591878,460551,460551,460551,723723,723723,789516,657930,657930,657928,723464,723464,985866,1051400,1379594,1774093,2628373,3286043,3285271,3022099,3284499,4138264,5714723,8474939,10380877,11301720,11564120,11695448,11631457,10056544,4927525,4471095,3881274,3683897,3025967,2631720,3223857
263174,328967,328965,328965,526344,460292,591878,855050,986636,789257,986636,1249038,1051400,1117193,1379594,1642507,2102543,2694164,3680801,5259833,6246728,4602161,2563609,1774606,2892574,3681836,1905938,1444874,1641994,2167568,1970443,720896,524288,721664,919043,919813,919813,985607,1051659,920073,788487,920073,1248779,1840399,2234642,2299922,2102029,2298379,3218708,5124133,7884092,9789772,10775635,11038548,11300950,10909280,7426888,4338478,3880499,3354930,2960174,3091760,2894892,2631720
